ranking,query,sort_by_filter,video_id,video_url
6,what is fentanyl,date,kkNGVPPBbnU,https://www.youtube.com/watch?v=kkNGVPPBbnU
7,what is fentanyl,date,dbrKgCHEbDg,https://www.youtube.com/watch?v=dbrKgCHEbDg
8,what is fentanyl,date,SpEjNinXbLA,https://www.youtube.com/watch?v=SpEjNinXbLA
9,what is fentanyl,date,WFbahc_TNLE,https://www.youtube.com/watch?v=WFbahc_TNLE
10,what is fentanyl,date,cOqnZOMSjRE,https://www.youtube.com/watch?v=cOqnZOMSjRE
1,what is fentanyl,rating,E3Mt7kAmgTU,https://www.youtube.com/watch?v=E3Mt7kAmgTU
2,what is fentanyl,rating,O_8OWhdLnNg,https://www.youtube.com/watch?v=O_8OWhdLnNg
3,what is fentanyl,rating,433aUbKXwPs,https://www.youtube.com/watch?v=433aUbKXwPs
4,what is fentanyl,rating,tXhrNhZ-wbs,https://www.youtube.com/watch?v=tXhrNhZ-wbs
5,what is fentanyl,rating,4RlNoRtl3m0,https://www.youtube.com/watch?v=4RlNoRtl3m0
6,what is fentanyl,rating,gEqi0I__ZII,https://www.youtube.com/watch?v=gEqi0I__ZII
7,what is fentanyl,rating,gWG22_GaR3Y,https://www.youtube.com/watch?v=gWG22_GaR3Y
8,what is fentanyl,rating,xU7RgzFXkz0,https://www.youtube.com/watch?v=xU7RgzFXkz0
9,what is fentanyl,rating,dbrKgCHEbDg,https://www.youtube.com/watch?v=dbrKgCHEbDg
10,what is fentanyl,rating,25IUCQe8owA,https://www.youtube.com/watch?v=25IUCQe8owA
1,fentanyl documentary,relevance,82QhIOgJy1c,https://www.youtube.com/watch?v=82QhIOgJy1c
2,fentanyl documentary,relevance,cidH_i4BA10,https://www.youtube.com/watch?v=cidH_i4BA10
3,fentanyl documentary,relevance,7OTw6Pg6A6w,https://www.youtube.com/watch?v=7OTw6Pg6A6w
4,fentanyl documentary,relevance,BXnOd-Hjpjs,https://www.youtube.com/watch?v=BXnOd-Hjpjs
5,fentanyl documentary,relevance,3lbrAHYC12w,https://www.youtube.com/watch?v=3lbrAHYC12w
6,fentanyl documentary,relevance,WvCld2vKug8,https://www.youtube.com/watch?v=WvCld2vKug8
7,fentanyl documentary,relevance,iJgPmrLjkuo,https://www.youtube.com/watch?v=iJgPmrLjkuo
8,fentanyl documentary,relevance,OaCUD3IliR8,https://www.youtube.com/watch?v=OaCUD3IliR8
9,fentanyl documentary,relevance,cZsDl1JtQq8,https://www.youtube.com/watch?v=cZsDl1JtQq8
10,fentanyl documentary,relevance,28rJqj-7pEY,https://www.youtube.com/watch?v=28rJqj-7pEY
1,fentanyl documentary,viewCount,nl0fDm7HSQ0,https://www.youtube.com/watch?v=nl0fDm7HSQ0
2,fentanyl documentary,viewCount,bpAi70WWBlw,https://www.youtube.com/watch?v=bpAi70WWBlw
3,fentanyl documentary,viewCount,Jd76HxqCPf0,https://www.youtube.com/watch?v=Jd76HxqCPf0
4,fentanyl documentary,viewCount,gWFlpCBMyIk,https://www.youtube.com/watch?v=gWFlpCBMyIk
5,fentanyl documentary,viewCount,28rJqj-7pEY,https://www.youtube.com/watch?v=28rJqj-7pEY
6,fentanyl documentary,viewCount,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
7,fentanyl documentary,viewCount,_FyHhC3Y8Fc,https://www.youtube.com/watch?v=_FyHhC3Y8Fc
8,fentanyl documentary,viewCount,UlYC0syLe7g,https://www.youtube.com/watch?v=UlYC0syLe7g
9,fentanyl documentary,viewCount,82QhIOgJy1c,https://www.youtube.com/watch?v=82QhIOgJy1c
10,fentanyl documentary,viewCount,WCqNLCzN-Fk,https://www.youtube.com/watch?v=WCqNLCzN-Fk
1,fentanyl documentary,date,OaCUD3IliR8,https://www.youtube.com/watch?v=OaCUD3IliR8
2,fentanyl documentary,date,CzcLGpcYJm4,https://www.youtube.com/watch?v=CzcLGpcYJm4
3,fentanyl documentary,date,T6EnkQtNTHY,https://www.youtube.com/watch?v=T6EnkQtNTHY
4,fentanyl documentary,date,JqqfI-bIvnI,https://www.youtube.com/watch?v=JqqfI-bIvnI
5,fentanyl documentary,date,0yQ6P0Yc3HM,https://www.youtube.com/watch?v=0yQ6P0Yc3HM
6,fentanyl documentary,date,OrWnD7Zt3vY,https://www.youtube.com/watch?v=OrWnD7Zt3vY
7,fentanyl documentary,date,OuuuSH8A42c,https://www.youtube.com/watch?v=OuuuSH8A42c
8,fentanyl documentary,date,j9_RM_M1KM4,https://www.youtube.com/watch?v=j9_RM_M1KM4
9,fentanyl documentary,date,9fwS61VYaTo,https://www.youtube.com/watch?v=9fwS61VYaTo
10,fentanyl documentary,date,fjneD1N9D04,https://www.youtube.com/watch?v=fjneD1N9D04
1,fentanyl documentary,rating,Kh4XOM-SonM,https://www.youtube.com/watch?v=Kh4XOM-SonM
2,fentanyl documentary,rating,VRaXo38hrGk,https://www.youtube.com/watch?v=VRaXo38hrGk
3,fentanyl documentary,rating,9fwS61VYaTo,https://www.youtube.com/watch?v=9fwS61VYaTo
4,fentanyl documentary,rating,CiI8OeMrE0U,https://www.youtube.com/watch?v=CiI8OeMrE0U
5,fentanyl documentary,rating,RYClgOtlCFU,https://www.youtube.com/watch?v=RYClgOtlCFU
6,fentanyl documentary,rating,bIzamk8Zetk,https://www.youtube.com/watch?v=bIzamk8Zetk
7,fentanyl documentary,rating,LWHc-4RadUY,https://www.youtube.com/watch?v=LWHc-4RadUY
8,fentanyl documentary,rating,HWR6_a_dBIQ,https://www.youtube.com/watch?v=HWR6_a_dBIQ
9,fentanyl documentary,rating,CzcLGpcYJm4,https://www.youtube.com/watch?v=CzcLGpcYJm4
10,fentanyl documentary,rating,bwGb_35fpFA,https://www.youtube.com/watch?v=bwGb_35fpFA
1,fentanyl crisis,relevance,JqqfI-bIvnI,https://www.youtube.com/watch?v=JqqfI-bIvnI
2,fentanyl crisis,relevance,ePk-470dScE,https://www.youtube.com/watch?v=ePk-470dScE
3,fentanyl crisis,relevance,GWBzxr3c29s,https://www.youtube.com/watch?v=GWBzxr3c29s
4,fentanyl crisis,relevance,lmxF2owm3Gg,https://www.youtube.com/watch?v=lmxF2owm3Gg
5,fentanyl crisis,relevance,BjsSuWKz2s0,https://www.youtube.com/watch?v=BjsSuWKz2s0
6,fentanyl crisis,relevance,cidH_i4BA10,https://www.youtube.com/watch?v=cidH_i4BA10
7,fentanyl crisis,relevance,GYbFc91SJHE,https://www.youtube.com/watch?v=GYbFc91SJHE
8,fentanyl crisis,relevance,3lbrAHYC12w,https://www.youtube.com/watch?v=3lbrAHYC12w
9,fentanyl crisis,relevance,m0vruORnoMk,https://www.youtube.com/watch?v=m0vruORnoMk
10,fentanyl crisis,relevance,wlnd5-2DLjY,https://www.youtube.com/watch?v=wlnd5-2DLjY
1,fentanyl crisis,viewCount,Jd76HxqCPf0,https://www.youtube.com/watch?v=Jd76HxqCPf0
2,fentanyl crisis,viewCount,28rJqj-7pEY,https://www.youtube.com/watch?v=28rJqj-7pEY
3,fentanyl crisis,viewCount,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
4,fentanyl crisis,viewCount,82QhIOgJy1c,https://www.youtube.com/watch?v=82QhIOgJy1c
5,fentanyl crisis,viewCount,GWBzxr3c29s,https://www.youtube.com/watch?v=GWBzxr3c29s
6,fentanyl crisis,viewCount,3QrZLNyYHVw,https://www.youtube.com/watch?v=3QrZLNyYHVw
7,fentanyl crisis,viewCount,Dfv_tISYl8A,https://www.youtube.com/watch?v=Dfv_tISYl8A
8,fentanyl crisis,viewCount,q1C__wgGd_w,https://www.youtube.com/watch?v=q1C__wgGd_w
9,fentanyl crisis,viewCount,OQbIfJop8z4,https://www.youtube.com/watch?v=OQbIfJop8z4
10,fentanyl crisis,viewCount,BjsSuWKz2s0,https://www.youtube.com/watch?v=BjsSuWKz2s0
1,fentanyl crisis,date,A5PVr5MKyMg,https://www.youtube.com/watch?v=A5PVr5MKyMg
2,fentanyl crisis,date,WSgcxp0Hsbg,https://www.youtube.com/watch?v=WSgcxp0Hsbg
3,fentanyl crisis,date,5DKklCEkRyc,https://www.youtube.com/watch?v=5DKklCEkRyc
4,fentanyl crisis,date,uQeGNSOxAlo,https://www.youtube.com/watch?v=uQeGNSOxAlo
5,fentanyl crisis,date,h7HmQejfAfY,https://www.youtube.com/watch?v=h7HmQejfAfY
6,fentanyl crisis,date,5LBFOB26EMQ,https://www.youtube.com/watch?v=5LBFOB26EMQ
7,fentanyl crisis,date,oABQkzvcOHg,https://www.youtube.com/watch?v=oABQkzvcOHg
8,fentanyl crisis,date,VW3c9_PZJrw,https://www.youtube.com/watch?v=VW3c9_PZJrw
